,age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52
0,78,f,yes,yes,yes,yes,yes,True,False,1923,in,43,True,39,90,29,43,78,22,9,38,33,9,64,35,36,15,91,75,10,47,38,86,50,41,80,2,11,70,58,67,66,66,77,6,27,86,19,90,14,28,45,54,79,38,100,37,100,55,63,21,82,49,3,90
1,100,f,yes,yes,yes,no,yes,True,False,1330,in,29,True,65,68,26,10,46,65,23,76,1,53,75,39,10,44,51,52,20,82,41,79,9,1,24,31,74,28,86,86,28,43,59,92,39,52,19,23,55,98,100,9,74,95,26,78,12,83,97,98,64,100,35,4
2,99,f,yes,yes,yes,yes,yes,True,False,10,in,37,True,13,27,67,22,87,24,11,30,12,75,86,32,25,45,98,92,38,12,87,72,17,71,75,78,36,74,11,75,34,94,29,7,56,87,65,69,80,83,6,51,10,23,68,44,54,94,17,65,48,38,59,23
3,80,f,yes,yes,yes,yes,yes,True,False,1380,out,75,True,73,46,58,98,15,14,20,29,98,40,1,75,68,71,19,35,9,3,4,35,67,42,20,49,82,97,86,53,73,98,96,73,23,79,69,1,51,98,98,14,95,91,56,6,19,63,4,97,77,49,91,48
4,91,f,no,yes,yes,yes,yes,True,False,1057,out,61,True,73,41,29,34,74,6,72,38,21,81,4,72,40,57,70,16,8,66,70,36,56,43,14,53,61,85,61,98,99,75,44,40,28,32,65,39,22,19,45,39,10,35,39,1,69,80,82,9,39,99,44,8
5,94,f,yes,yes,yes,yes,yes,True,False,704,out,74,True,65,49,45,9,19,16,68,28,40,50,94,92,23,12,66,90,9,11,89,69,73,6,26,62,45,48,33,41,80,97,23,50,1,80,5,16,23,10,96,51,58,40,12,31,38,43,91,95,33,10,10,16
6,66,f,yes,no,yes,yes,yes,True,False,2670,out,63,True,77,64,58,88,45,13,35,67,94,69,78,30,54,31,66,43,92,94,17,48,15,71,48,96,84,18,44,68,57,8,66,40,75,20,64,82,87,39,85,5,27,93,32,7,5,29,98,77,100,22,88,14
7,83,f,yes,yes,yes,no,yes,True,False,1328,in,15,True,42,26,12,79,55,43,28,59,100,13,37,11,98,26,7,43,83,73,48,55,21,46,73,60,27,86,91,54,12,18,75,12,60,90,9,66,45,33,38,61,99,90,87,30,92,38,49,16,4,87,16,81
8,89,f,yes,yes,yes,yes,yes,True,False,862,in,21,True,84,6,84,11,93,7,87,28,76,66,6,95,98,100,69,43,10,64,56,20,38,35,9,71,70,60,85,92,85,16,54,74,12,87,99,62,76,14,12,86,96,28,75,24,90,27,40,70,27,34,3,47
9,81,f,yes,yes,yes,no,yes,True,False,1642,out,53,True,69,29,70,46,71,47,99,86,15,68,48,48,99,18,60,1,56,65,61,68,9,42,70,90,37,4,92,39,10,46,100,24,48,54,6,4,40,0,93,83,45,82,32,87,43,8,34,50,27,88,93,53
10,88,f,no,yes,yes,yes,yes,True,False,167,in,37,True,83,42,90,34,75,48,13,65,0,48,93,9,66,14,97,71,10,91,18,28,26,21,39,18,58,75,3,71,33,57,56,19,15,49,98,16,14,48,56,83,63,44,33,90,75,11,67,10,34,76,21,14
