,age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52
0,67,m,yes,yes,yes,yes,no,True,False,1932,out,91,True,14,18,33,55,13,21,54,7,83,8,86,47,95,72,99,97,90,65,52,19,77,3,96,77,95,41,44,13,97,54,20,14,30,88,69,59,76,11,71,29,53,17,37,52,33,25,90,96,20,80,93,94
1,77,f,yes,yes,yes,yes,yes,True,False,2855,out,82,True,19,42,11,6,36,50,18,100,99,41,100,81,16,94,8,55,46,99,70,2,71,57,7,41,69,42,85,68,57,94,26,45,24,94,85,4,29,61,44,63,54,30,89,16,21,92,10,49,47,23,71,83
2,97,f,no,yes,yes,yes,yes,True,False,2837,in,41,True,2,60,98,55,93,51,43,24,32,14,47,84,29,23,53,54,26,91,11,41,57,84,79,15,40,88,47,36,54,92,40,15,13,32,59,29,23,64,59,88,55,88,92,7,60,51,59,28,17,18,14,64
3,74,m,yes,yes,yes,yes,yes,True,False,1074,out,69,True,99,97,12,31,91,5,53,86,94,74,31,24,20,1,60,43,92,96,66,98,56,39,22,38,33,79,81,23,6,50,42,78,65,13,54,8,9,75,42,45,7,94,55,27,38,69,81,20,34,71,26,71
4,61,f,yes,yes,yes,yes,no,True,False,2312,out,66,True,69,18,15,47,87,43,69,78,36,40,91,8,95,4,14,28,57,45,91,17,41,85,28,45,54,51,60,21,56,1,28,63,95,63,64,22,14,60,75,92,92,78,3,16,48,86,72,37,6,23,55,67
5,81,f,yes,yes,no,yes,yes,True,False,2067,out,60,True,74,95,79,31,27,19,46,88,12,24,17,36,58,96,2,2,85,94,55,52,11,85,15,91,91,86,52,54,65,86,21,51,34,69,81,63,41,11,88,28,100,4,40,76,9,1,54,77,69,64,50,44
6,74,m,yes,yes,yes,yes,yes,True,False,1942,in,8,True,78,73,60,59,86,87,97,2,73,2,0,81,56,16,5,10,46,77,7,47,86,17,54,35,81,39,16,9,14,11,57,85,63,33,99,6,62,18,96,47,21,2,76,91,91,96,3,67,63,54,38,73
7,79,m,yes,yes,yes,yes,yes,True,False,2278,out,81,True,56,34,98,49,92,20,70,58,47,36,4,44,88,62,34,85,36,75,45,5,26,74,0,28,38,88,93,13,82,63,7,28,70,45,66,96,50,16,93,99,98,15,68,29,95,73,79,39,81,69,73,89
8,69,f,yes,yes,yes,yes,no,True,False,18,in,37,True,2,52,57,46,99,19,30,91,34,50,22,4,10,5,22,86,91,85,29,73,52,36,25,38,23,56,74,8,94,84,14,72,26,30,19,15,75,61,40,36,71,58,11,56,78,31,90,26,47,54,32,71
9,94,m,yes,yes,yes,yes,yes,True,False,285,out,53,True,34,29,87,73,12,18,0,90,24,47,62,42,73,71,100,69,80,57,6,83,98,61,53,21,22,7,75,69,86,69,61,53,25,98,35,78,83,52,32,15,67,93,21,93,60,42,74,36,60,24,80,10
10,95,f,yes,yes,yes,yes,no,True,False,1395,out,52,True,94,52,85,43,42,28,74,48,27,0,25,32,76,63,3,73,68,85,93,4,85,54,13,73,29,5,14,51,58,66,91,22,24,89,31,76,88,67,0,44,39,46,66,39,94,99,74,92,32,86,68,49
11,87,f,yes,yes,yes,yes,yes,True,False,1232,out,86,True,64,87,0,1,78,89,56,53,85,99,43,74,46,14,91,43,5,31,8,87,54,68,49,78,85,84,74,88,36,9,59,78,68,71,17,11,0,91,88,16,10,66,58,42,49,88,78,10,3,45,98,20
12,77,f,yes,yes,yes,yes,yes,True,False,2923,out,55,True,100,48,42,59,3,31,88,9,83,36,12,50,9,92,92,75,44,3,45,51,16,38,23,10,1,76,33,43,32,70,91,8,81,81,45,66,11,30,29,87,19,68,80,61,33,24,60,12,39,81,35,38
13,100,m,yes,yes,yes,yes,yes,True,False,1986,in,28,True,38,85,46,3,66,71,90,23,57,73,94,3,96,7,41,96,59,64,92,2,70,62,38,29,30,91,26,86,76,76,43,80,99,19,20,8,27,38,58,83,89,25,85,47,3,40,69,11,3,78,42,37
